[2026-05-21 03:39:31] DELETE /logout → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:39:31] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:39:33] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:39:37] GET /admin/sorteos → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:39:37] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:39:44] POST /admin/login → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:39:45] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-21 03:40:01] POST /admin/login → REDIRECT (302) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-21 03:40:01] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-21 03:40:07] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-21 03:40:23] POST / → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:24] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:26] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:30] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:31] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:35] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:35] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:40] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:40] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:45] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:45] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:40:55] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:09] POST /admin/sorteos/sorteo_1/ejecutar → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:09] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:22] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:23] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:49] DELETE /notificaciones/notif_7 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:49] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:50] DELETE /notificaciones/notif_5 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:50] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:52] DELETE /notificaciones/notif_4 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:52] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:53] DELETE /notificaciones/notif_3 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:53] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:55] DELETE /notificaciones/notif_2 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:55] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:56] DELETE /notificaciones/notif_6 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:56] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:57] DELETE /notificaciones/notif_9 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:57] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:58] DELETE /notificaciones/notif_8 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:59] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:41:59] DELETE /notificaciones/notif_1779085212403500 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:00] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:00] DELETE /notificaciones/notif_1779085212351072 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:01] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:02] DELETE /notificaciones/notif_1779085212284921 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:03] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:03] DELETE /notificaciones/notif_1779085212240275 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:04] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:05] DELETE /notificaciones/notif_1779085212195014 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:06] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:07] DELETE /notificaciones/notif_1779085212139616 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:07] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:08] DELETE /notificaciones/notif_1779085212085958 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-21 03:42:08] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 1
